,train_id
733,17891
734,14621
735,10635
736,5131
737,13016
738,18432
739,15148
740,8998
741,17990
742,17633
743,2817
744,2530
745,924
746,10814
747,13379
748,12648
749,2244
750,6645
751,6627
752,2633
753,1984
754,8493
755,5734
756,18901
757,2041
758,5086
759,5680
760,2091
761,15196
762,12448
763,14357
764,16696
765,8322
766,4434
767,16008
768,963
769,5303
770,5428
771,13822
772,4500
773,2699
774,17619
775,13478
776,1776
777,13671
778,6671
779,8254
780,13944
781,1356
782,11569
783,9240
784,15121
785,2189
786,2492
787,12853
788,16987
789,13002
790,10495
791,11610
792,14340
793,15429
794,7702
795,2894
796,1336
797,234
798,726
799,15192
800,8840
801,469
802,14254
803,14462
804,12217
805,16007
806,4595
807,17668
808,14773
809,2432
810,11302
811,2006
812,8312
813,11652
814,2917
815,15230
816,9160
817,13321
818,13211
819,12114
820,14886
821,585
822,2009
823,9185
824,7759
825,16874
826,669
827,6269
828,1090
829,12134
830,11458
831,1696
832,13058
833,15743
834,9248
835,9979
836,9222
837,778
838,2615
839,18961
840,18222
841,19602
842,16644
843,11835
844,7012
845,11143
846,11653
847,9154
848,18950
849,2202
850,10256
851,9525
852,18568
853,9223
854,3436
855,3101
856,19658
857,19380
858,16079
859,13798
860,19407
861,5637
862,18179
863,982
864,11531
865,19262
866,15922
867,15935
868,5550
869,16612
870,18360
871,6664
872,2337
873,2877
874,6631
875,7933
876,11401
877,19892
878,13156
879,11348
880,6244
881,6031
882,4432
883,8434
884,17259
885,8624
886,6382
887,12479
888,7875
889,3729
890,17322
891,12123
892,13612
893,14628
894,19817
895,1942
896,16133
897,257
898,426
899,11048
900,1004
901,11133
902,2051
903,8406
904,13930
905,12314
906,12301
907,5763
908,4070
909,167
910,7646
911,14710
912,13692
913,16140
914,16235
915,13386
916,8281
917,6605
918,10059
919,17998
920,10908
921,8045
922,11910
923,14283
924,5388
925,6175
926,9132
927,2191
928,17757
929,18734
930,15864
931,3589
932,3872
933,16488
934,599
935,7304
936,7805
937,3649
938,3425
939,5999
940,17711
941,1424
942,15505
943,10798
944,13660
945,1100
946,16406
947,10391
948,14973
949,18545
950,9706
951,10546
952,15108
953,11227
954,17756
955,163
956,10043
957,11318
958,18733
959,5625
960,5448
961,10526
962,14351
963,5516
964,2990
965,708
966,13790
967,8481
968,14253
969,14326
970,9565
971,7745
972,2460
973,10239
974,4615
975,15690
976,7567
977,8040
978,4545
979,11449
980,6979
981,4744
982,17361
983,9259
984,10711
985,1752
986,13319
987,13974
988,6449
989,13109
990,11941
991,7460
992,9873
993,8057
994,9337
995,18197
996,9964
997,12872
998,8089
999,3167
1000,2749
1001,9272
1002,16764
1003,15865
1004,14912
1005,3307
1006,5103
1007,12630
1008,6811
1009,5743
1010,2260
1011,2115
1012,757
1013,19195
1014,8578
1015,2068
1016,2729
1017,19644
1018,3275
1019,17012
1020,4390
1021,12471
1022,16549
1023,1504
1024,15991
1025,5213
1026,16199
1027,8253
1028,16352
1029,17986
1030,14402
1031,10914
1032,9632
1033,11145
1034,15902
1035,10392
1036,7251
1037,8294
1038,1330
1039,7728
1040,3508
1041,6507
1042,10054
1043,3458
1044,19009
1045,6765
1046,15146
1047,8455
1048,18660
1049,1571
1050,2243
1051,1409
1052,13650
1053,1673
1054,2406
1055,11160
1056,8719
1057,5653
1058,16369
1059,14865
1060,3648
1061,10667
1062,18792
1063,19282
1064,2989
1065,11541
1066,10616
1067,13816
1068,13720
1069,11259
1070,17742
1071,16436
1072,3993
1073,18001
1074,17784
1075,9026
1076,18713
1077,6564
1078,1013
1079,3107
1080,1130
1081,6046
1082,6158
1083,11121
1084,9233
1085,14299
1086,18958
1087,10499
1088,12959
1089,17724
1090,7589
1091,18916
1092,14291
1093,11446
1094,11031
1095,12008
1096,7089
1097,5862
1098,9151
1099,13129
1100,11842
1101,3715
1102,3713
1103,12769
1104,14197
1105,6599
1106,18516
1107,18915
1108,5173
1109,18354
1110,16010
1111,15280
1112,18111
1113,2403
1114,12898
1115,8244
1116,1690
1117,19974
1118,16800
1119,3469
1120,9953
1121,9430
1122,17242
1123,8409
1124,8733
1125,2737
1126,15919
1127,65
1128,4077
1129,9896
1130,3383
1131,4279
1132,9373
1133,13927
1134,1236
1135,7059
1136,8990
1137,6741
1138,9243
1139,15149
1140,6177
1141,16031
1142,8215
1143,12848
1144,8955
1145,19549
1146,5136
1147,13381
1148,10334
1149,2558
1150,1354
1151,10638
1152,5059
1153,375
1154,11415
1155,4998
1156,6109
1157,15851
1158,18055
1159,2263
1160,10279
1161,12028
1162,8607
1163,1588
1164,7240
1165,2847
1166,12440
1167,8815
1168,4058
1169,7497
1170,5503
1171,17778
1172,13146
1173,17559
1174,13322
1175,5908
1176,374
1177,18421
1178,10132
1179,17985
1180,4105
1181,5313
1182,9575
1183,5526
1184,5127
1185,17716
1186,18133
1187,8082
1188,15114
1189,2038
1190,13910
1191,6733
1192,10708
1193,17541
1194,18079
1195,1460
1196,4581
1197,9438
1198,13890
1199,15791
1200,4564
1201,6650
1202,7317
1203,6248
1204,944
1205,18025
1206,2516
1207,16937
1208,14080
1209,12019
1210,11776
1211,18123
1212,5397
1213,8704
1214,11485
1215,16115
1216,10829
1217,8211
1218,16180
1219,15180
1220,13380
1221,17917
1222,16896
1223,2214
1224,15984
1225,11935
1226,4696
1227,2755
1228,14461
1229,17216
1230,16312
1231,10511
1232,8764
1233,17954
1234,17787
1235,7500
1236,13388
1237,10006
1238,223
1239,5730
1240,15540
1241,10524
1242,3764
1243,5445
1244,1550
1245,3593
1246,11533
1247,8047
1248,8313
1249,17073
1250,4522
1251,16988
1252,15903
1253,8113
1254,18268
1255,1812
1256,11101
1257,10321
1258,3739
1259,2422
1260,11786
1261,18324
1262,16382
1263,18936
1264,18749
1265,6179
1266,13168
1267,9452
1268,18832
1269,1904
1270,18417
1271,11351
1272,5986
1273,1979
1274,13856
1275,18513
1276,351
1277,6020
1278,16596
1279,11103
1280,19529
1281,11741
1282,4408
1283,14415
1284,7094
1285,16205
1286,956
1287,2455
1288,1563
1289,2182
1290,13802
1291,13635
1292,10063
1293,9660
1294,9193
1295,13063
1296,1874
1297,1981
1298,13702
1299,6513
1300,12990
1301,12352
1302,1001
1303,12914
1304,19545
1305,2262
1306,11547
1307,8358
1308,17612
1309,16141
1310,19814
1311,14658
1312,15560
1313,16762
1314,6435
1315,11572
1316,13113
1317,13896
1318,4741
1319,10246
1320,18799
1321,17927
1322,3788
1323,1573
1324,12100
1325,19739
1326,1241
1327,570
1328,4869
1329,5727
1330,14447
1331,11463
1332,15622
1333,19072
1334,3201
1335,19737
1336,83
1337,16655
1338,5961
1339,15721
1340,7990
1341,9462
1342,8568
1343,8341
1344,794
1345,3379
1346,10318
1347,9625
1348,9631
1349,17113
1350,2603
1351,9501
1352,702
1353,9250
1354,2745
1355,744
1356,6063
1357,6088
1358,18151
1359,4040
1360,2277
1361,16513
1362,10592
1363,18466
1364,334
1365,1822
1366,4576
1367,5985
1368,14328
1369,11090
1370,7504
1371,4963
1372,19167
1373,15067
1374,7856
1375,2152
1376,7819
1377,9381
1378,13677
1379,12203
1380,5293
1381,3016
1382,10610
1383,11072
1384,14344
1385,10307
1386,6396
1387,2973
1388,3786
1389,11580
1390,17473
1391,18617
1392,13855
1393,1110
1394,14908
1395,4790
1396,12046
1397,16197
1398,4815
1399,5487
1400,8986
1401,66
1402,19520
1403,12259
1404,15541
1405,5728
1406,1527
1407,17341
1408,7958
1409,4264
1410,17797
1411,12439
1412,499
1413,10622
1414,15771
1415,5080
1416,6296
1417,13732
1418,15268
1419,12921
1420,17508
1421,1506
1422,3994
1423,3866
1424,8727
1425,14374
1426,5512
1427,15708
1428,8861
1429,13223
1430,8674
1431,7328
1432,14789
1433,16100
1434,12349
1435,14571
1436,8981
1437,4993
1438,14951
1439,10935
1440,6056
1441,19987
1442,13339
1443,9366
1444,5314
1445,7312
1446,3249
1447,12055
1448,2909
1449,19538
1450,10921
1451,836
1452,13199
1453,19802
1454,1266
1455,2045
1456,16477
1457,677
1458,8247
1459,11118
1460,481
1461,16585
1462,7730
1463,2768
1464,11026
1465,16341
1466,7147
1467,6289
1468,8471
1469,11110
1470,10968
1471,15257
1472,1055
1473,7180
1474,19663
1475,857
1476,13422
1477,6134
1478,13005
1479,7520
1480,18546
1481,1604
1482,19901
1483,1373
1484,7190
1485,12891
1486,10894
1487,6952
1488,13432
1489,2613
1490,472
1491,9775
1492,16558
1493,11455
1494,11367
1495,4085
1496,9463
1497,1562
1498,13962
1499,7016
1500,3266
1501,4427
1502,283
1503,4738
1504,10086
1505,9413
1506,2315
1507,14746
1508,9807
1509,3707
1510,18116
1511,5965
1512,15820
1513,13043
1514,7641
1515,11535
1516,3210
1517,7316
1518,7883
1519,17077
1520,1669
1521,14725
1522,14096
1523,4754
1524,6568
1525,4493
1526,18922
1527,5522
1528,14549
1529,734
1530,14687
1531,13593
1532,9353
1533,1308
1534,2222
1535,10912
1536,14048
1537,18298
1538,17381
1539,17075
1540,19310
1541,14585
1542,17219
1543,11339
1544,8575
1545,207
1546,6817
1547,10237
1548,18468
1549,3515
1550,5436
1551,3026
1552,3694
1553,19539
1554,7327
1555,15777
1556,11009
1557,16796
1558,5570
1559,5246
1560,11794
1561,19446
1562,16441
1563,11952
1564,14518
1565,6076
1566,6434
1567,13355
1568,383
1569,15394
1570,7009
1571,18688
1572,13517
1573,19872
1574,11983
1575,14903
1576,18174
1577,5983
1578,16991
1579,1037
1580,15303
1581,239
1582,6856
1583,1002
1584,2013
1585,11286
1586,9694
1587,10802
1588,11938
1589,11129
1590,639
1591,19979
1592,10483
1593,13093
1594,12483
1595,9844
1596,8567
1597,4870
1598,8477
1599,14342
1600,4391
1601,16146
1602,17405
1603,8984
1604,14667
1605,6408
1606,18507
1607,18810
1608,1281
1609,6764
1610,17492
1611,3532
1612,6691
1613,18420
1614,14267
1615,15454
1616,10422
1617,6486
1618,4371
1619,12813
1620,17836
1621,7078
1622,1397
1623,17241
1624,2245
1625,17417
1626,2284
1627,6367
1628,11410
1629,15310
1630,2912
1631,15393
1632,5703
1633,19125
1634,10478
1635,3162
1636,13320
1637,8699
1638,8582
1639,16408
1640,2619
1641,6491
1642,14316
1643,2928
1644,14292
1645,18316
1646,7584
1647,532
1648,554
1649,10016
1650,14770
1651,4394
1652,18953
1653,15197
1654,18807
1655,10723
1656,13513
1657,17496
1658,10200
1659,864
1660,6378
1661,13459
1662,10061
1663,18558
1664,18322
1665,19224
1666,17129
1667,17135
1668,12302
1669,1112
1670,18309
1671,15945
1672,4959
1673,7707
1674,7778
1675,12973
1676,6458
1677,6854
1678,15867
1679,3403
1680,17883
1681,18393
1682,13512
1683,17162
1684,3946
1685,15482
1686,11441
1687,4872
1688,213
1689,14419
1690,4755
1691,2379
1692,1088
1693,12618
1694,8604
1695,4981
1696,6096
1697,18821
1698,5426
1699,10853
1700,14376
1701,15072
1702,1558
1703,16051
1704,3962
1705,6718
1706,8556
1707,14381
1708,350
1709,19836
1710,9622
1711,91
1712,15436
1713,9399
1714,16985
1715,17726
1716,18211
1717,5185
1718,17231
1719,7652
1720,13821
1721,12015
1722,17826
1723,11407
1724,16181
1725,4381
1726,4839
1727,2714
1728,7025
1729,14334
1730,19161
1731,4233
1732,8074
1733,4945
1734,12412
1735,11694
1736,15372
1737,8379
1738,4282
1739,14331
1740,15507
1741,3834
1742,7477
1743,18161
1744,10413
1745,8821
1746,14465
1747,2073
1748,16110
1749,15648
1750,35
1751,7343
1752,17329
1753,9799
1754,12720
1755,13781
1756,17908
1757,12521
1758,19786
1759,16094
1760,3831
1761,5852
1762,15106
1763,8514
1764,6376
1765,9486
1766,10583
1767,1555
1768,13574
1769,17941
1770,18508
1771,4533
1772,3856
1773,12024
1774,18318
1775,7929
1776,19841
1777,4927
1778,6233
1779,9744
1780,13865
1781,9538
1782,1127
1783,13296
1784,5146
1785,17353
1786,5217
1787,846
1788,13940
1789,9127
1790,3772
1791,19773
1792,14942
1793,3907
1794,3309
1795,11973
1796,12950
1797,3586
1798,14572
1799,11585
1800,10862
1801,8811
1802,19086
1803,11872
1804,17364
1805,9677
1806,15035
1807,12551
1808,11627
1809,10462
1810,18527
1811,12374
1812,10966
1813,2866
1814,13133
1815,9564
1816,10545
1817,16871
1818,6521
1819,17599
1820,7414
1821,15057
1822,4569
1823,17795
1824,13604
1825,19689
1826,4267
1827,8532
1828,16561
1829,17235
1830,5683
1831,15384
1832,11827
1833,15866
1834,15751
1835,16673
1836,8233
1837,19199
1838,3657
1839,12407
1840,15705
1841,1094
1842,12595
1843,118
1844,10617
1845,19355
1846,18155
1847,5912
1848,7224
1849,7888
1850,3246
1851,7054
1852,3585
1853,16780
1854,4023
1855,12310
1856,514
1857,3960
1858,1749
1859,19982
1860,2341
1861,10106
1862,8492
1863,9358
1864,3899
1865,8729
1866,14065
1867,16507
1868,2864
1869,7194
1870,4762
1871,3029
1872,5514
1873,2267
1874,14329
1875,12740
1876,6824
1877,13425
1878,3681
1879,10720
1880,3013
1881,9173
1882,16622
1883,10844
1884,14232
1885,5524
1886,3667
1887,18964
1888,10230
1889,1337
1890,15849
1891,13280
1892,8772
1893,12884
1894,12072
1895,5681
1896,9901
1897,2387
1898,3643
1899,17176
1900,6467
1901,16005
1902,13926
1903,5257
1904,5990
1905,5365
1906,14312
1907,5371
1908,9541
1909,16968
1910,12511
1911,12427
1912,5489
1913,8119
1914,6067
1915,772
1916,10215
1917,580
1918,3322
1919,11596
1920,3986
1921,2794
1922,15397
1923,16409
1924,9853
1925,9918
1926,6184
1927,3073
1928,12159
1929,11799
1930,2957
1931,17779
1932,7672
1933,19816
1934,19996
1935,4946
1936,12434
1937,9041
1938,4435
1939,12261
1940,1954
1941,1566
1942,7607
1943,1070
1944,8796
1945,1071
1946,8652
1947,256
1948,4691
1949,12238
1950,7207
1951,3160
1952,10754
1953,17509
1954,9130
1955,4422
1956,16241
1957,3132
1958,15122
1959,8043
1960,17481
1961,8836
1962,7433
1963,7467
1964,12160
1965,14382
1966,15882
1967,6455
1968,6656
1969,2616
1970,650
1971,6160
1972,3630
1973,16386
1974,5463
1975,1116
1976,11494
1977,7282
1978,17112
1979,18387
1980,8320
1981,12993
1982,9875
1983,5589
1984,14429
1985,12170
1986,3245
1987,8701
1988,8190
1989,16704
1990,5585
1991,3437
1992,7538
1993,10493
1994,7732
1995,6119
1996,3601
1997,13383
1998,7394
1999,6947
2000,9886
2001,16733
2002,19479
2003,12208
2004,7175
2005,15660
2006,18571
2007,12351
2008,12060
2009,12964
2010,5814
2011,9824
2012,2001
2013,6863
2014,14501
2015,17837
2016,1857
2017,15868
2018,6398
2019,7499
2020,8150
2021,6290
2022,4849
2023,19801
2024,3492
2025,17400
2026,5850
2027,4104
2028,3641
2029,14751
2030,9498
2031,9485
2032,14454
2033,5642
2034,10512
2035,7628
2036,16065
2037,17130
2038,19323
2039,6545
2040,12516
2041,6706
2042,5178
2043,19352
2044,2323
2045,7452
2046,5117
2047,19126
2048,5558
2049,841
2050,3945
2051,10405
2052,7997
2053,5182
2054,14734
2055,8659
2056,19265
2057,15496
2058,895
2059,12549
2060,18176
2061,11005
2062,7262
2063,16313
2064,3474
2065,13639
2066,6593
2067,14473
2068,8833
2069,9736
2070,12808
2071,6390
2072,2375
2073,18112
2074,19690
2075,16648
2076,15575
2077,8900
2078,1891
2079,2796
2080,7696
2081,7740
2082,8256
2083,1129
2084,18352
2085,12455
2086,973
2087,15632
2088,4351
2089,12353
2090,4333
2091,9335
2092,17565
2093,5904
2094,16748
2095,14265
2096,17977
2097,19298
2098,17547
2099,19797
2100,18894
2101,574
2102,12450
2103,13272
2104,9847
2105,7422
2106,4936
2107,13960
2108,14206
2109,3931
2110,13575
2111,17395
2112,9597
2113,15549
2114,14980
2115,13260
2116,10636
2117,1570
2118,14054
2119,7342
2120,12687
2121,15821
2122,16826
2123,19035
2124,16229
2125,7911
2126,15316
2127,9822
2128,15814
2129,18397
2130,7594
2131,16504
2132,8333
2133,9593
2134,17462
2135,7440
2136,8069
2137,437
2138,9461
2139,17266
2140,3647
2141,14223
2142,5931
2143,9991
2144,16888
2145,9815
2146,15736
2147,18248
2148,643
2149,6882
2150,8974
2151,19249
2152,18104
2153,14592
2154,12651
2155,17485
2156,14439
2157,14364
2158,17183
2159,12715
2160,2220
2161,9014
2162,3020
2163,17213
2164,16769
2165,14144
2166,7729
2167,1019
2168,12861
2169,16522
2170,14486
2171,4619
2172,15652
2173,6193
2174,17966
2175,6813
2176,8339
2177,8496
2178,4490
2179,6295
2180,15191
2181,14004
2182,3606
2183,2663
2184,624
2185,6180
2186,11856
2187,9045
2188,18053
2189,10447
2190,12603
2191,11153
2192,7257
2193,12452
2194,12598
2195,5093
2196,25
2197,16889
2198,8171
2199,4012
2200,17788
2201,17141
2202,8234
2203,14416
2204,521
2205,8139
2206,4102
2207,4613
2208,11929
2209,3886
2210,16858
2211,13159
2212,17393
2213,1702
2214,12857
2215,10350
2216,4309
2217,19596
2218,5375
2219,2607
2220,1079
2221,8336
2222,76
2223,6084
2224,1654
2225,19392
2226,6680
2227,1121
2228,3324
2229,6488
2230,10657
2231,8141
2232,13641
2233,18789
2234,19656
2235,9787
2236,12702
2237,13610
2238,12047
2239,3157
2240,7144
2241,8943
2242,158
2243,19461
2244,11447
2245,15302
2246,10474
2247,4022
2248,2791
2249,19988
2250,19122
2251,9724
2252,169
2253,14261
2254,14631
2255,15116
2256,18766
2257,5988
2258,19289
2259,1136
2260,1488
2261,10819
2262,6151
2263,7264
2264,6349
2265,11934
2266,16391
2267,12405
2268,18956
2269,6305
2270,5134
2271,10156
2272,4528
2273,12682
2274,16721
2275,4773
2276,4331
2277,17807
2278,9076
2279,3581
2280,17865
2281,18166
2282,635
2283,13745
2284,9685
2285,275
2286,8616
2287,7305
2288,10252
2289,6136
2290,7115
2291,8793
2292,16686
2293,19902
2294,11363
2295,12724
2296,2600
2297,16367
2298,6092
2299,1160
2300,15916
2301,583
2302,5530
2303,16355
2304,5144
2305,10606
2306,749
2307,5399
2308,4162
2309,1785
2310,12779
2311,16931
2312,5774
2313,12798
2314,12706
2315,9183
2316,7817
2317,11557
2318,5504
2319,2522
2320,2758
2321,113
2322,13669
2323,17921
2324,5518
2325,5288
2326,7651
2327,10105
2328,2128
2329,1201
2330,1379
2331,124
2332,2353
2333,7380
2334,16924
2335,2426
2336,14918
2337,11860
2338,14161
2339,16344
2340,12201
2341,5225
2342,12554
2343,2740
2344,17184
2345,12365
2346,11524
2347,16791
2348,3311
2349,12287
2350,11893
2351,11054
2352,16546
2353,4894
2354,14147
2355,700
2356,6049
2357,19940
2358,2983
2359,11732
2360,6007
2361,9973
2362,546
2363,16046
2364,1897
2365,5823
2366,8799
2367,12805
2368,7260
2369,17745
2370,356
2371,14663
2372,13887
2373,4285
2374,2531
2375,7943
2376,16418
2377,11276
2378,1040
2379,16390
2380,1119
2381,18952
2382,2356
2383,16021
2384,19136
2385,9840
2386,19423
2387,9308
2388,18678
2389,2255
2390,7635
2391,13316
2392,15655
2393,19127
2394,17374
2395,589
2396,13691
2397,18436
2398,13446
2399,11327
2400,14044
2401,3743
2402,14408
2403,13426
2404,3918
2405,13097
2406,520
2407,10678
2408,18502
2409,7984
2410,4594
2411,16659
2412,17641
2413,9666
2414,6989
2415,5021
2416,10941
2417,7091
2418,13556
2419,12329
2420,7588
2421,8191
2422,17294
2423,10992
2424,2590
2425,764
2426,4236
2427,19331
2428,12320
2429,5112
2430,18069
2431,17447
2432,6785
2433,19042
2434,5777
2435,9098
2436,6077
2437,11640
2438,9832
2439,14354
2440,1049
2441,537
2442,5499
2443,10917
2444,3271
2445,18415
2446,4650
2447,12986
2448,4271
2449,13332
2450,17308
2451,1915
2452,8845
2453,14962
2454,7632
2455,11362
2456,15194
2457,14528
2458,19378
2459,17142
2460,398
2461,8163
2462,15032
2463,4538
2464,6236
2465,8310
2466,8053
2467,11308
2468,11564
2469,354
2470,9827
2471,10371
2472,15070
2473,9168
2474,3429
2475,13780
2476,4007
2477,17523
2478,15557
2479,16586
2480,19312
2481,18858
2482,930
2483,5739
2484,19598
2485,1426
2486,13495
2487,11398
2488,13395
2489,3028
2490,9738
2491,19041
2492,7403
2493,2411
2494,3482
2495,19818
2496,2587
2497,9502
2498,5278
2499,19281
2500,11613
2501,11168
2502,19160
2503,9126
2504,2415
2505,1634
2506,10790
2507,17604
2508,19655
2509,5584
2510,18921
2511,12664
2512,18117
2513,15170
2514,2992
2515,815
2516,2678
2517,15757
